TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,
"Or you could maybe have an API where you can get information, you know. And you can understand that and you could use that to leverage as part of your script. You can get information back from the API and say, OK, well here's what I need.",Future opportunity, API,,,,,,,,,,,,,,,,
"Which would make sense if you could change the placement name. But once you set it up and put a campaign on, you actually can't change it. It's not possible for us to change it. So I agree.",Customer needs, Placements,,,,,,,,,,,,,,,,
"Yeah. The other one, I think Kevin that came up quite a lot was like error handling. So like if you have bids for search term and you put a wrong bid in, you don't know what it is. If you put a category bid under the minimum, the platform doesn't tell you what it is. So like you can't actually handle errors in your script. It will just kind of kill it more or less and then you have to reach out and understand. So like information in is one thing when we were looking at. But then also information back out. How do you handle errors? How do you kind of prompt after the fact. How do you know the information you're putting in is correct without having to navigate away from the API to get that? Like is there a way to kind of say like, OK, you're below the Min bid with this. Update the value. You're below, the min bid is this. Update this value. And I think when we add features, sometimes we, we don't change our API responses. I could be wrong, but there's a lot of different things that you can enter into the API right now and you just won't be able to like, understand what went wrong.",Understanding vague, Categories, Errors or Issues, API, Bidding, UI improvements, Guidance,,,,,,,,,,,
"Yeah, exactly. And I think that just kind of ties into like, if you want to build tools against this, you need that good error handling because you want to build in redundancies to the whatever tool you're creating. You want to be able to throw an error that you can understand, interpret and then handle. But right now, you know, [it's] just wrong.",API, Guidance, Errors or Issues,,,,,,,,,,,,,,,
Kevin did you have anything to add?,,,,,,,,,,,,,,,,,,
"I think the only other one is like, I know it's coming but we should try to like, match whatever we're able to do in the UI we can do via the API and then right now we have product Ads and banners. So it's like, well, is half your capabilities here and the rest jump in the UI and do it there. If we want to start with, even if it's not exposed and it's just bulk operations through whatever mechanism and Ian you mentioned like a file upload or something like that, even if it's a templated file. Like how do we go about doing that? How do we create like a templated file that someone could go in export their campaigns and then they could just edit the values like you know. That saves you from building like a nice pretty user interface where you can edit all the values and just gives you a mechanism to kind of use tools to edit bulk like a bunch of campaigns. And you know, that might be the end goal. But I think it's a good approach to kind of allowing someone to come into a platform or a team download all the campaigns. Type in the values that they want at certain things. Re-uploaded in the same kind of area and then it goes away and processes those updates on campaigns.",API, Banners, SPA (Sponsored Product Ads), Bulk actions, UI,,,,,,,,,,,,,
"Yeah, I think like even parity right now would be a good first step. I know we're keen on bulk but like we can. If there's ways to navigate bulk right now or if there's no way to navigate, which means you do have to switch between the two, regardless. I think the only call out on banners is like, how do we, I know there's probably more one’s for you. But because there is some portion where you are uploading an image, we don't have an image repository that we picked from until it's uploaded. And then I guess it just sits in cloud front. But we don't have a user interface to pull down an image from that.",Customer needs, API, Bulk actions, Managed service, Banners, Gap (Product or Service), Assets, Files or Media,,,,,,,,,,
"Yeah, you would have to know that.",,,,,,,,,,,,,,,,,,
I think it wouldn't be hard to mimic like a Google Ad Manager where they just create the line items and all you do is go in and upload the creative version on you there. Like that would be pretty quick versus what we have to do now.,Google Ad Manager (GAM), Competitor advantage,,,,,,,,,,,,,,,,
"I think that makes sense and Katy we probably have this almost ready. When I pulled the numbers recently. Yeah, I thought it was really helpful for me to dimension-ise these things. For SPA, because that's where API is involved today, around 50% of our revenue is managed. That means our team has to do it. And today we have to use Pacvue because it drives the automation we need. The other 50% largely also come through API partners. There's only a very small fraction that actually use our UI today. And I think it all centers around this piece of it's just hard to use and it's very manual, right?",Pacvue, SPA (Sponsored Product Ads), API, Partners,,,,,,,,,,,,,,
"And, I think the added layer of the API is more and more clients want a programmatic approach to RMN. They want to be able to buy across multiple retailers in one UI. Which we kind of do [want] too. Our Ad Op's would love that even just for our own retailers, right? So sometimes the numbers bring clarity to things and I was kind of surprised by it. So I wanted to share that.",Managed service, API, Customer needs, Automation, Reduce effort,,,,,,,,,,,,,
"And I think the thing for us, Ok if it's API-first, I just want to make sure that even from a financial end of it that we're building in Pacvue for all. Because right now it's only on Target and Ahold, right. And so for the foreseeable future, how long will we need that? Will we need it across all retailers? Or what are the things that could fall to make it easier? And, and I will just say to our on-boarding is a struggle and that's for everybody for outside of AdManager. Even for AdManager. I mean having to onboard clients for two different API's, we're on the Struggle bus daily.",Business strategy, API, AdManager, Manual effort, Future opportunity, Pacvue, Ahold Delhaize, Target,,,,,,,,,,
I dig it out of my SharePoint and I will send it over to you.,,,,,,,,,,,,,,,,,,
"Yeah, we're talking about on-boarding our partners, right? Not our retailers. Retailer API is not terrible. It's partner on-boarding?",,,,,,,,,,,,,,,,,,
Thanks a lot.,,,,,,,,,,,,,,,,,,
Thanks John.,,,,,,,,,,,,,,,,,,
Bye. See you.,,,,,,,,,,,,,,,,,,
"Paired up with the operations team and asked them, what are the super high-volume tasks that you have to do all the time? Because currently - I'm sharing my screen, sorry if this is a little big, but anyway it kind of show it together. It's currently if you want to do a bulk operation or duplicate campaigns [within AdManager] under a new wallet, or do things like that, you have to spend a lot of time clicking through the admin. So find an operations person and I want to create a new campaign or duplicate a campaign. I have to do everything, right. I have to come in. I have to pace things there. Then I have to select every value here [in Campaign Manger within AdManager] and kind of do every single thing, right. I have to look up all my product codes that I need. Some of them are going to be fine. Other ones are going to be like... harder to find. You come in and set your CPC [Cost Per Click] if you need them and OK then you launch your campaign.",Manual effort, Managed service, Reduce effort, Products, CPC (Cost Per Click), API, Bulk actions, UPC or Identifier,,,,,,,,,,
"And if you have to do that all the time while kind of checking between two sources of information and also like checking the campaign you're working on. Or adjusting, you know if you have to do 5 [campaigns], it's probably OK. If you have to do 100, you're spending a little time clicking around in an admin, or in the UI, which probably isn't the best use of time. We see the same thing when you're editing a campaign. So if I want to edit this campaign. You can't get to any stage that I want to get to without doing that [having to go through each campaign setup step]. I just want to change the CPC, you know, have to kind of click four times to get here [in the Campaign Manger setup] and then adjust. It doesn't seem like much, but again, if you're doing one, it's probably OK. If you're doing 100 like why, you know. I can never go forward. I can't ever skip a step [in Campaign Manager].",Campaigns, Manual effort, Data challenge, Frustration, Bulk actions,,,,,,,,,,,,,
"So, what we're looking for is ways to automate and allow for a bulk update of campaigns so we can reduce the overhead or the requirement of someone to come in here, find every single campaign they want, under whatever team they want. You know, again, like if you're thinking about different teams, you have to be in that particular team to edit campaigns for that team. So again, you're spending a lot of time in the UI just clicking around, finding the things that you want all the time. Which is, in a large scale takes up a lot of time.",Customer needs, Campaigns, Reduce effort, Automation, Managed service, Bulk actions,,,,,,,,,,,,
"So, what we started doing was we first started looking at how we can get information out of the platform. Now you can't really get campaign information out of the platform. It doesn't really like. There's no campaign report, right? So there's no report where you can come in this platform and download it and get information about your campaign. The only campaign report you have is  how your campaign is performing. This is purely for advertisers. I'm sure it's for operations people too, but probably they're not going to use it. They're going to use DataGrid. So reporting is like the first thing [to address].",Data, Gap (Product or Service), Limitation, DataGrid, AdManager, Campaigns, Managed service, Aggregated reporting, Data challenge,,,,,,,,,
"How do you get information out of the platform so you can see all your campaigns? How do you even download your campaigns? OK, you can't. You can't come in here and download all these campaigns, right? And then understand them all. You have to go through each individual one if you know the exact names of the campaign. If you know the team you're in, and so on and so forth. So again, you're spending a lot of time like looking for information that should probably be more readily available to you.",Limitation, Manual effort, AdManager, Frustration, Campaigns,,,,,,,,,,,,,
"So the first step was to design like an export [through BigQuery] of campaign information from the platform that is used in the API and is also modified quite commonly. So we built this query with the operations team to essentially download campaigns in a report that has the kind of things they want. Obviously, we kind of limit it to product only because that's the only thing we can work with. And this is the kind of thing they're looking for, right? You have the namespace. Actually I don't know that we know that. But if you're thinking more in your global scale and like how to modify multiple campaigns across multiple retailers, which we can touch on a little bit as planning the script, then OK, like now you need to start thinking about what the namespace does that exist in case I want to touch multiple namespaces, right? This is great for one namespace, but let's scale it out. Operations works on multiple namespaces all the time. Running it to one for the tests that we're doing, but there is always the opportunity to kind of expand that out and look at multiple namespaces. I think it's a better way to do it.",BigQuery, Understanding vague, API, Limitation, Managed service, AdManager, Namespace (retailer setup), Bulk actions, Aggregated reporting,,,,,,,,,
"Being able to touch multiple campaigns across multiple namespaces from one place, massive help. This is the campaign ID, again [in BigQuery]. Probably not something that you're fully aware of. Maybe you are if you covered it out after you've created the campaign. But the campaign name is and they're generally created with like a certain format in mind. In production and staging here, where we're doing our testing, it's less important. Next thing in the team ID which you know no one really knows what that means. So we're going to put the team name in here as well. But the [team] ID has to be used and the API call here. So you have to take the ID and pass it in. So we need it and you'll see why in a second. Placement ID, and I don't think you can get this information. This is hard to find, but you need it as well for the API calls that we pull it in. Display name as well, you get it from the UI. But again, not very helpful to you here because you need the placement ID.",Poor performance, UPC or Identifier, Frustration, Namespace (retailer setup), Placements, API, Campaigns, BigQuery,,,,,,,,,,
"So I'll pause here. Just to kind of clarify, like I'm thinking about this from 2 angles. One is net new campaign creation where you have to fill information in that you that the API currently requires. And [2] modification of existing campaigns where potentially we can pull the information down for you, or you can pull the information that yourself. In a perfect world, this wouldn't be a report that comes out of BigQuery, it should be a report that comes out of the platform or some mechanism. Some tool where you could download it, look at your existing campaign, make adjustments to it and then push it back up [to AdManager]. Which is essentially the process that we're currently doing. We're just taking the download, we're processing it to a team, they're making modifications and we're just pushing it back up through the avenues that we have currently. Again, it's not ideal, but we're kind of working with what we have. I'm sure in like a future concept, like once we have an API that can kind of do these kind of bulk operational things, it's probably easier to just build something in the UI that allows you to go through a list and make modifications, and multiple things. And if you worked with like Pacvue and things like that, you'll know their UI kind of has like a grid and you could come in and make modifications.",BigQuery, Limitation, Competitor advantage, Campaigns, Pacvue, API, Customer needs, Bulk actions,,,,,,,,,,
Yeah. Correct.,,,,,,,,,,,,,,,,,,
"Not necessarily with the same product code, but that's a bit of a different story. That's that's a bit more along the lines of like universal product codes [UPC] and things like that. Because the same product that's across two different retailers is two different things, right? That code might mean Pepsi here, but it might mean Coke somewhere else. Terrible example, but you can kind of get it. So looking for like UPC codes or common names or things like that so they can identify. They're booking campaigns that have been sold in by the sales team like iO's [Insertion Orders] and things like that. Does that answer your question.",UPC or Identifier, Insertion Order (IO), Business challenge, Retailers, Brands, Products,,,,,,,,,,,,
"Wallet needs is another one [in BigQuery]. So like wallet name. I mean no one really knows the wallet ID. You have to be on the platform to get it out. I think anything you can get it back from the API currently, I think you have to put the [wallet] ID in to get the details of the wallet back. That might be one to think about whether you can use different values or list them all somehow. But anyway, we digress there. The ID is fine, they can create them in the UI and pull the values and if they need to create new campaigns.",Wallets, BigQuery, API, Customer needs,,,,,,,,,,,,,,
"Kellogg products is, I think, a tricky one when we talk about multi catalog. This is something I think I'll run through and script. I think we talked about a little bit, Dieter, about like checking whether the product exists in the catalog. But name of the catalog something probably trying to steer away from. But as it does exist, multiple product codes can exist in multiple catalogs. Which can be a little bit hairy here. And you can have multiple. Kind of like the same campaign running across multiple catalogs.",Kellogg's, Products, Business challenge, Catalog (retailer), Data, Frustration, BigQuery,,,,,,,,,,,
"It gets pretty easy from here out [in BigQuery]. These are pretty straightforward. I think the only thing that's missing here is like bids by search term. You can do it in the API, but you can't get it out of BQ [BigQuery], so you don't know the bid per search term as it's associated in the platform. Currently, I don't think you can retrieve it via the API. At least API that we have the exposed one. I'm sure you could get it from an internal one but can't really use those.",API, BigQuery, Limitation, Search terms / Keywords, Bidding,,,,,,,,,,,,,
So v3 [the AdManager Campaign API]. I don't know where you're getting bids per search term from.,,,,,,,,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,
"So is that when you're retrieving it, the campaign you made. Or when you're creating.",,,,,,,,,,,,,,,,,,
"So we can create them and we can probably retrieve them if we were going to build something specific for one campaign, but I can't get them out of BQ [BigQuery]. I can't get bids for the specific search term or get search terms. I can get Max cost per click but I can't get search terms and bids out of BQ [BigQuery]. That's where we're like, if we're generating report out of BQ to be adjusted and maybe this isn't the ideal way to do it. But I think this is the best way that we have currently without like calling the endpoint for all the campaigns and like building kind of a JSON thing and having them adjust that. Or taking the JSON and converting it into an Excel file. This is where we kind of come to to get the full list of information about all the active campaigns in the platform. So we can give them a report that they can easily understand and adjust.",Campaigns, BigQuery, Excel, Manual effort, API, Reporting, Search terms / Keywords, Bidding,,,,,,,,,,
"So what we do is we generate this report [in BigQuery] and it looks something like this [in an Excel export]. You can see I have the values in here and what I'm doing with the script is essentially I am going through every row, understanding if there's a campaign ID or not to decide whether or not we want to create or update a campaign. So we just change our method there. And constructing like the JSON payload that's used by a campaign API. It's going OK.",BigQuery, Excel, Manual effort, Campaigns, API, Reporting, Search terms / Keywords, Bidding,,,,,,,,,,
"There's some error handling that's a little interesting. Dieter, we talked about one today. I don't know why you sometimes get that error and sometimes you don't. But we'll step through the script and like some of the things that have become difficult. Now the first one is user key per environment. So like if you want to get an access token to use API V3 [AdManager Campaign API], you have to get an access token for the specific namespace you're in. Even if you're on the same project. So each time you want to create a campaign for update a campaign for a specific environment, you have to go and get an access token directly from that environment. So the only way I think you can do that is to go away and kind of store all the tokens you need for the day for the script for to run, and then just pop in the tokens as you can after a new namespace.",Errors or Issues, API, Business challenge, Namespace (retailer setup), Manual effort,,,,,,,,,,,,,
"I think it would be better to have like an API key that you can use like even if it's from the retailer team that allows you to create campaigns on behalf of teams. I don't know why you wouldn't have that because in the UI, if you're in the retailer team, you can add yourself to a supplier team and create a campaign on their behalf anyway. There's nothing they can do [retailers] that stops you from doing that. So it's interesting to see like why you need to... have access to the namespace and the user in the team to create a campaign on their behalf when you can kind of do it anyway, if you really want to. I guess it protects you from not being able to like create campaigns by accident for a team that you're not a part of. But I think if you're part of the retailer team as a user, then you should probably get some sort of override there. So it can be assumed that your token has access to create campaigns on behalf of all teams or something like that. Because you can create fixed tenancy campaigns on behalf of them anyway right now.",Access, Manual effort, Retailers, Reduce effort, Namespace (retailer setup), API, Retailer needs, Campaigns,,,,,,,,,,
"So that's the first one we run into is like, we have to get have to get the individual token. You have to make sure you're part of teams. So whatever token you're using or the token that we might get them to enter, they do have to make sure they're in multiple teams. And retailers are big. They have so many teams, so you have to be a part of a lot of teams to do this. And then you also see a slowdown in the UI when you're part of a lot of teams. So it's still kind of a work in progress. We're going to build it out and try it out and to how to kind of pass in those tokens for when we need to use that thing.",Manual effort, Frustration, Access, Retailer needs,,,,,,,,,,,,,,
"We get into how we do it. I won't bore you with the details, but again, essentially, you're iterating through the rows in the CSV [export from BigQuery]. Checking if the campaign ID exists, and then deciding whether or not to do a patch or post. You have to convert the UTC time out of BigQuery into that Zulu time because the API won't accept it unless it's in that specific format. So you have to convert it. It's the same time anyway, but this just requires that specific format, I believe. I'm tried a couple of different ways [but] UTC doesn't seem to like it very much.",UPC or Identifier, Manual effort, Excel, BigQuery, Business challenge, Campaigns,,,,,,,,,,,,
"The other thing we do here is if there's no end date we can just kind of tell it, but it's always on. And what we had to do here, Dieter, was what we did originally was prior actually hitting the API is probably not a good way to check whether the product exists when the catalog. So what we do is - and this is still a work in progress - we actually call that V1 catalog products [old AdManager API] and we checked the response code. So if the response codes 200 [product exists in the catalog], we append the product that we're building, which is just the product object in the JSON response to the API call. If we get a 400, it means it's not found and we just don't add it. So we're essentially like building an API call by rolling through the rows and then rolling through the data within these rows. So like if there's two products here and there is one catalog, we just check them both against the catalog, right? So we just check if it exists. If it does, yes, it's OK to add. If it doesn't, don't add it. I see it gets a little bit intense when you check all these.",Products, API, Limitation, Frustration, Date or Time related, Catalog (retailer),,,,,,,,,,,,
"Kind of been playing around with actually using the API response. When it throws that error message earlier, which is why I raised it with you. Is like use the API response to then adjust your product list if the products not available because the API does respond in some use cases that this product is not a part of that catalog. Trying to decide which is better to do this way is definitely a lot slower because you're kind of like looping through and if you have like 5 catalogs, it's takes a little chugs a little bit, takes a lot of time to do all those API calls. I don't know if it's better or worse than making like 2 separate requests the API went through. But probably the latter is probably the better way to do it. Probably adjust for that. But essentially all you're doing is taking this product code, checking if it exists by using that V1 endpoint, and if it does, it's OK to add it",Gap (Product or Service), Errors or Issues, Products, API,,,,,,,,,,,,,,
How am I getting them?,,,,,,,,,,,,,,,,,,
I know them from the campaign.,,,,,,,,,,,,,,,,,,
"But if I was coming in and like I was in new operations person, I would already have the product codes that have been sold in for the IO. So I would just enter them, but what I don't know immediately is whether or not that product code's available in that particular catalog. That can be where it gets a little tricky. So you have to do that thing in the UI where you're like, I'll find out my product codes go and add them all, then I'll remove the catalogs where they don't appear. This is just our way of circumventing that. Did that answer your question.",API, Limitation, Insertion Order (IO), Understanding vague, Products, Catalog (retailer), Managed service,,,,,,,,,,,
"Search term is the same, so I think the search term object again it's split out. So you're saying like, these are all search terms I want. You have to kind of build this search term object which you probably know. But you know, you build that kind of array of search term objects, pass into the campaign. I'll see if I can find one [in BigQuery]. Add an example, but you know what I mean.",Search terms / Keywords, Products, BigQuery, Manual effort,,,,,,,,,,,,,,
"Like you build on that search and when you create it which has like the values against that. Those search terms. And then we just kind of construct the API calls. So here is just where we build it [in BigQuery] and you can see all the values, we're just pulling them in from the sheet. We have kind of talked about a few different things like where can we look up the wallet ID if the wallet name is present and just populate it instead. It's because maybe they don't know the wallet ID, and is it easier if they know the name. Like they can just put the [wallet] name in and then we'll pull the ID in by hitting the wallet endpoint. But I don't think you can. So something to think about, I guess we get the list all wallets.",Search terms / Keywords, Data, API, Wallets, BigQuery, UPC or Identifier,,,,,,,,,,,,
"Yeah. That's fine, but if you create a new wallet you kind of need to know the ID. Because the admin table only gets updated once a day. So you can't pull them in, slow it down. So the thing we're trying to navigate is like how do we get real time information out of the platform to build a request. That's some of these things. This is not a big problem. It's just one of those things that we're trying to accommodate. And yeah, that's pretty much it. Then we just make the API call.",Wallets, UPC or Identifier, Poor performance, API,,,,,,,,,,,,,,
"Right now we're just kind of recording the responses that we see because what kind of error troubleshooting and like debugging the different use cases where you can run into different problems. Like we run into the problem around the products not being in the product catalog and having to remove that. You run into some problems where like if the if you include a product catalog and if you include a catalog ID in the catalog list that doesn't exist on the products, you get an error. I think some of these things for me - and this might just be the approach that we're taking and happy to hear others suggestions - it is like nothing is assumed. So if you put something wrong in the API, immediately is like 'No way, I'm not doing that'. It doesn't like think like. OK, I'll just remove that. I can see what you're trying to do, I'll just remove that and I can throw you like an error. I'll remove this catalog ID. But it doesn't. It just stops you dead in your tracks. Which is kind of where we came to the viewpoint on the last call Ollie where it feels like the API right now expects you to have limited options in what you can enter. Like it's restricting you because it's really based on like... you couldn't enter something wrong in the UI. Like you can't make it wrong because you have limited options to select from. So no assumptions are kind of made on your behalf. And I do wonder like how much of this can I take out before this doesn't work completely?",Analysis, Manual effort, UPC or Identifier, API, Errors or Issues, Catalog (retailer),,,,,,,,,,,,
"I know some of these things you don't need [in the API call]. But I'm not sure if I can like remove certain things. Like I'm not sure what's like required or what's not in this API because a lot of I think there's a few things that can kind of be inferred. And the campaign state, do I really need to do that. I'm not sure if I'm creating a new campaign. Maybe, maybe not. Approval state. I think that's defined by the platform. The namespace admin. Again defined by where you are like you. You have to have the user key. The user key is associated with the namespace. So like where else could I be, you know? Like that's inferred, but I think you have to have that in there. Those are some of the things that kind of jump out immediately as like I have to be very specific about what I tell this API because otherwise it just errors. And even when it does, even when it sometimes when you do the right thing. OK, I think this is an OK API call.",Campaigns, API, Access, Approvals, Understanding vague, Namespace (retailer setup),,,,,,,,,,,,
"OK, so that works. See now it works like. It's strange this same API call as [it errored] before. Didn't touch it.",,,,,,,,,,,,,,,,,,
"Yeah. Now you're watching. Yeah. And I get that. But like you know, honestly, I didn't change the API call from when I sent it to you. But before it tells me I need to pass the team ID, and now doesn't. Like that's some of the things where it's makes it very hard to understand what's happening with this API because the error handling I think is a little a little funky.",,,,,,,,,,,,,,,,,,
"Sometimes it errors, sometimes it doesn't. I'd like to dig into that more. I don't know much logging we have so we can like see their request and why it errored. But that's a really good example and not sure why. Maybe it's trying this one. Here's the one. Let's see if it still errors [in BigQuery]. OK, good. It's still error. I've error trapped that. So this one errors, but I can't find out why. So I get this error code ""Request team ID must be provided"". I have a valid team ID.",API, Errors or Issues, Understanding vague, BigQuery, Analysis,,,,,,,,,,,,,
The patch.,,,,,,,,,,,,,,,,,,
"I don't understand that error code as it associates here. Like why am I getting this error when I have a valid team ID that I just used a second ago for a patch call. Am I doing something else wrong? I can't figure it out. Is it because I had this on my end, maybe? No. So it does make debugging quite difficult when you're speaking against it, because you don't know where to start sometimes and like could be something to do with the catalog ID's and the products. I have to like deep dissect this API call to figure this out. But that's just one of the ones where you know the error codes just aren't quite up to scratch in helping me account for them if I'm trying to do anything programmatically.",Understanding vague, API, Errors or Issues, Analysis, Manual effort,,,,,,,,,,,,,
"Yeah, sure.",,,,,,,,,,,,,,,,,,
Yep.,,,,,,,,,,,,,,,,,,
"Yeah, I mean that could be a way to do it. Like you could have it like that. I mean, the idea is probably more to have like a hosted sheet [templated spreadsheet] somewhere. So like you can host these files and like they can come in and make adjustments. And at the end of the execution, we would just write a line back to the file to say this is the time that it was updated. Like we can just get the time that we sent the request. We can get the response like whether it's a 200 response and we just say like updated. Like, create a new column here [in the sample spreadsheet been displayed] and say like updated that. Then they could just come in and make adjustments.",Customer needs, Bulk actions, Excel, Consideration,,,,,,,,,,,,,,
"So you could even have like running reoccurring where it would just come in and like hit the API. Again, we kind of have this conversation with engineering around like how much can we hit this API? Is this actually like an open API? Is this something that we can use? Can we build things like this? It seems a little like last time I spoke with like Joe [Josip Vulic, previous VP of tech in AdManager], you know, when he was here and Dennis, they felt like, yeah, as long as you were using exposed endpoints, it's OK don't use internal ones.",API, Customer needs,,,,,,,,,,,,,,,,
"So, I'm just commenting out this code here for this internal endpoint. We'll just pretend you didn't see that. But that's the kind of thing that we also need to understand is like, are we going to beat this environment into the ground by doing something like this, like, how things should we run something like this? What are the barriers here? What are some of the things we need to be wary of if we're doing something like this? Because it really does just simulate a bunch of people being in the platform, making campaign adjustments at the same time. But how often they're going to be doing that, the frequency of it? OK. Probably this is going to be a little bit more.",API, Concern or Worry, Business challenge, Understanding vague,,,,,,,,,,,,,,
Maybe every hour or two?,,,,,,,,,,,,,,,,,,
Yes.,,,,,,,,,,,,,,,,,,
"I think what probably is a good thing to consider here is like the reason why they have to do so many updates. Rather than like how many did they do. And I think the primary reason is probably due to the lack of functionality in the platform around pacing and like things like that. So like the reason that they have to come in here so often and make so many updates is because the functionality is not there for it to happen for them. So like if you need to adjust the campaign or the campaigns spending too much or too many products in the campaign, nothing does that for you. It's all very manual, so you have to come in and update it like throughout the day to check the pacing or to add funds, or to shift a campaign to a new wallet, or things like that. And I'm not the best person to speak to it. But the platforms' very manual. So that's the requirement to constantly be very manual with the platform if you're trying to get budgets for your campaigns and you're trying to adjust things and make sure things spend the right time and like add and remove search terms or add or remove products, or make sure CPC's are lined up correctly, so you're winning at the right time in the day and you're getting the revenue. These are all kind of things that come into play.",Wallets, Limitation, Optimisation, Pacing, CPC (Cost Per Click), Search terms / Keywords, Revenue, Consideration, Products, Campaigns, Manual effort, Budget, Customer needs, Spend,,,,
"Exactly. Yes, like a lot of the strategy stuff for delivering a campaign is done manually. So like it's all manual. Which means that when we talk about  having to go in the UI and having to make adjustments and having to like change certain things, it seems like quite easy. But if you do it 100 times a day or 150 times a day, well now you're spending the majority of your time clicking around the UI just to make the strategy for a campaign correct. And as you extrapolate that out for multiple clients. Sure, some clients require more, some clients require less, but you start to see that time spent just like 'hands on' keyboard growing because there's not a lot of automation. There's not a lot of features and functionality that allow you to go in and do that. So I think this addresses that. So it addresses the hands-on keyboard time, but it probably doesn't address a larger problem, which is something that I think products looking at. Which is features and functionality that mean that while you can do this, you probably don't need to do it as often. Makes sense?",Campaigns, Optimisation, Manual effort,,,,,,,,,,,,,,,
"Yeah. And again, I'm not the best person to speak to it. But, if you're going to ask questions of the operations team, what I would be asking is like the 'Whys'. Why do you have to touch one campaign 10 times a day? Why you have to touch one campaign 15 times a day? Like how many campaigns, on average would you say you're touch? What are the things that you're touching like, are you just adjusting the Max bid? It's on the list, right? Like Max bid adjustment is on the list.",Optimisation, Managed service, Campaigns, Bidding,,,,,,,,,,,,,,
"Do you need to spend 15 to 20 seconds in the UI finding a campaign to change that value to that, for 100 campaigns? Probably not, right? But you do now. So those are the kind of things that I would be like, if I was you, narrowing in on what are the use cases and why do those use cases exist? Because I know it's not your squad, but like it will help inform product in general. Like how much time are we spending in the platform to adjust something that's isn't. And you know, why is it like that, and what's the best way to do it? Probably not, but that's where I'd start.",Manual effort, Campaigns, Optimisation, Future opportunity,,,,,,,,,,,,,,
"What we're doing here is we're circumventing right, like we're just doing this stuff because we're kind of circumventing and kind of designing things to really get around what we feel like a limitation in the platform, right.",,,,,,,,,,,,,,,,,,
"Yeah. And that list ties back into what we're doing here. So you'll see like, oh OK that's how you're solving it by doing it like this. Again, I'm not pretending this is ideal by any stretch, but it solves the immediate problem and I think like API’s and really open API’s, they take a long time to build. And fully functional ones take a longer time to build. But as we grow and as we scale, we need a solution for them now. So we kind of look, look down here [to a list of Bulk Operation needs for customers] to try to do that. Yeah.",Bulk actions, Scaling, API, Analysis,,,,,,,,,,,,,,
"Yeah. Exactly. So you'll see if we go over the list like start and end date change. So you can come in here and you can change the start and end date. That's fine, Max bid change. You can come in here and change the Max bid. Campaign duplication, all you need to do is copy the row and delete the campaign ID and it will duplicate your campaign. Product removal, you can do that. Just remove the products from the cell and it will patch the existing campaign. Catalog removal, same deal. You can remove the catalog from that cell and it will do that catalog. New campaign build can come in here. And if you know your placements [ID's] and your teams like you can copy your row essentially and just delete certain things and it's already prefilled for you. The hard thing is like placement ID's and stuff like that. You know, it's kind of annoying, but you know, this might be where we encounter a few problems. You might need to know the placement ID because you need it to make the API call. And download full campaign setup details, I mean, this is exactly what we did at the start, right?",UPC or Identifier, Bidding, Campaigns, Bulk actions, API, Placements, Excel, Customer needs, Date or Time related, Future opportunity,,,,,,,,
"So yeah. And we'll encounter more things. Don't get me wrong. We will encounter new things as we start to like, use this. Of course we're figuring out the pieces here first.",,,,,,,,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,
"So the other one is the access. But I think you already spoke about it a little bit. Like I have to kind of retrieve all these different user tokens for different environments to do like something on that environment. And also the team structure. So I have to be a part of that team as well, where the user has to be a part of multiple teams. I think if you're on the retailer team, you should probably be able to do things on behalf of teams because you could do that anyway in the in the UI if you're in there. You could just add yourself to the team and go wild.",Access, Limitation,,,,,,,,,,,,,,,,
"Yeah, like a master key kind of thing. And whether you want to do it like master user across multiple namespaces, that's probably pretty cool. But I guess if you're building or like a partner, how do you get like a master key to say like OK, I'm authorised to do things on namespace XYZ. And that means I've been given access to do those things. And you can record who did it and things like that. But I don't need to be on every team and every time create a team for that. And I can do things on behalf of teams. I can go in and make adjustments, you know, I don't need to kind of constantly go to each environment, get a user key, use that user key and then you know reset it. And you can still have your bearer token for that user key. That's fine. But it's more about, I need an individual key to access each individual environment. Not only that, my user needs to be a part of every single team that I want to touch in that environment. So now my users are part of 150 teams across the name spaces. Seems a little lethargic for trying to do like bulk operations. Whereas when we're operating from - operationally -we're touching multiple environments all the time, right? And you're always going between environments, but you're having to log into that environment and go through the same process we just talked about to just adjust one campaign. Like is there a way to do that across all environments? That's going to save a heap of time, right. Like I can just go in and have a master list of all the environments that I'm working from, and I can make adjustments.",Limitation, Frustration, Bulk actions, Access, Namespace (retailer setup),,,,,,,,,,,,,
Similar thing you see from the API here is like the authentication. Not being able to do it across multiple places without logging in per se.,,,,,,,,,,,,,,,,,,
"And the other one I have is like doesn't seem to infer a lot. You have to be very specific again. Like you know, can I remove namespace ID? Probably not. I think it will fail. I can try. But if I'm logged into environment and I have a user key from that environment that's specific to it, why don't I need to give the API on namespace ID? Where else could I be? It knows that I'm from that namespace from my user key, so don't need that? Stuff like that.",API, Reduce effort, Namespace (retailer setup),,,,,,,,,,,,,,,
