TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,,
"It'll make more sense once I, pull this together on the on the next sheet that I take this into.",,,,,,,,,,,,,,,,,,,
"I'm attributed now to sort of actual currency and long-form numbers. So it's the next Excel spreadsheet that I take this into which is August SmartCart. Into the August campaign results that I've got here [in Excel]. Because what I need to do is I need to take my downloaded data for the month and fill out basically what it is, so I can judge the success of like say our categories campaign rather than just like the individual campaigns from that level. So if we were to look at say breakfast cereals to a shortened version of that, it's then moving these breakfast cereal behind each one [manually updating and moving data in the Excel file].",Analysis, Data, Performance, Reporting, SmartCart, Manual effort, Excel,,,,,,,,,,,,
"Because then that kind of lets me see. So now I know again what we sort of spent behind the entire campaign and then how we're tracking from a return Ad spent on that campaign and sort of track that span up and down based on my, based on my own learnings from that one there. So then I've just basically, judging not only the success of each individual campaigns, but then I guess the average campaign performance of all our breakfast cereal campaigns, from that regard there. So then I can see the conversion rate broken down so that I can [go] ok to improve this conversion rate, I need to maybe pull back on the breakfast cereal search wallet that we've got here.",Analysis, Campaigns, Conversion Rates, Data, Optimisation, Performance, Search terms / Keywords, Wallets, Hack or Workaround, Routine activity, Manual effort, Excel,,,,,,,
"So I make a decision around that. But again, and this is sort of, I guess where my own intuition sort of comes behind it. So we've got an increase of a budget of $105 a day. So then I've split it across. It means that we are increasing our cereals budget by [$]25 our breakfast cereal by [$]30 gluten-free by [$]15 cereal by [$]25 high five by [$]10. Because that can allow me to track the individual campaigns based on the overall increases that we need to make on a daily basis. And then, as you can see sort of the most money we're putting behind is our category of breakfast because we're getting almost double the return Ad spend [ROAS] that we see from the other search categories, in that category space. That sort of needs the most budget behind it.",Business decision, Budget, Categories, Optimisation, ROAS, Spend, Mental models,,,,,,,,,,,,
"But then I think there still needs to be a fairly even split behind search terms because that's an area that is searched a lot more. A lot of people do search in terms rather than by a category. So that still means budget to be covered sort of in that regard there. But I can see that there's probably an argument to increase our 'Cereals, Bites & Protein' [budget] because that's got a better click through rate [CTR] by far to about [$]35. And then bring that [Cereals] down to $15, maintain that [overall Breakfast Cereal category daily spend] $105 to improve our click through rate, because our breakfast cereal campaign that's targeting, say like our blends and that sort of stuff there does have quite a low click rate compared to our other products. And so I guess that's how I sort of make decisions on the performance of the overall wallet. It allows me to sort of track my budget from an overall wallet perspective and sort of keep the campaign separate as well as sort of see what adjustments we can make to an individual campaign level that has that flow-on effect to the overall category level.",Business decision, Budget, Categories, CTR (Click Thru Rate), Optimisation, Performance, Products, Search terms / Keywords, Mental models,,,,,,,,,,
Pretty much? Yeah.,,,,,,,,,,,,,,,,,,,
"It does. It definitely does. I mean, this is just something for my own tracking [Excel spreadsheet]. I guess in terms in seeing this information, it's not like you can't see it on SmartCart. If I go back into SmartCart’s and see. It doesn't sort of have that overview, that total amount that's broken down [in AdManager]. Like it hasm't actually shown that information there. So, I can see the individual campaigns and how they're going [in AdManager camapign dashboard], but in terms of tracking for the month, how is our breakfast cereal category going as a category and sort of what traction do we have from, I guess that overall, is the piece that's missing there.",Campaigns, Categories, Data, Performance, SmartCart, Hack or Workaround, Gap (Product or Service), Limitation, Excel,,,,,,,,,,
"I mean, I could download them again. I guess, just download this information [in AdManager] and sort of and cut it up. But I guess it's just habit that sort of just made me download it all at once and then sort of work it out into this spreadsheet. So I can see the category of performance. And that's why I've named the campaigns that you can see, that I've named them as such. So, this is pulling out [in the Excel spreadsheet] of our default wallet. This is pulling out of our non-dairy milk wallet and they're like grocery milk, any of the cereal or the grocery milk campaigns. They're different from our chilled milks that we've got here that are different from our frozen desserts in terms of vegan and the campaigns that we've got in that regard. So this spreadsheet [view of performance] just on a page that allows me to sort of evaluate again how the total wallet is going and then I can pull out these numbers and compare them on a month-by-month basis, as well as as well as the individual campaign performance.",Campaigns, Categories, Data, Metrics, Performance, Wallets, Hack or Workaround, Routine activity, Excel, Aggregated reporting,,,,,,,,,
"Again, I might not just show you the other spreadsheet because it does lay out sort of our budget for the year and that sort of stuff. But essentially, I've got another spreadsheet that details sort of how our spend is going for how much we've got budgeted in the system. So say, for example, if we had say [$]3000 spend for our breakfast cereal campaign and we spent this time $2007.53 then I just work out, so we spent this, spent this, that's about 7 or 8 days left in the month eight. Essentially we've got $124 left that can be spread. So then I can put that in the budget in terms of how much we need to be spending a day to hit budget. And then that can be split off against each of the campaigns that we've got running in the system.",Budget, Campaigns, Optimisation, Performance, Spend, Limitation, Excel,,,,,,,,,,,,
"And then go through each of these campaign budgets, yeah.",,,,,,,,,,,,,,,,,,,
"So the daily spend is set on the campaign level on the campaign level. So it is then me going into each of the individual campaigns and increasing the budget incrementally by the number that I've got in here [in the Excel spreadsheet]. So the hope is and sort of how we track it and what we can see is that if I'm seeing, for example, if I had an example based on my findings of the total amount of the wallet. If we needed the wallet to go up 100 and $5 per day because we're not necessarily, to hit the full budget of the category of breakfast cereal. And we noticed, for example, oh, actually, you know what if we increase the high-fibre cereal breakfast that's there by $10 each day, it's not actually reaching that budget. Like, we can then see from that the cereal campaign [category] isn't spending $105 per day because it's not going up by that much. We're actually having to increase each time how much money we spend per day to hit that limit. So then we can go at this level and sort of see what campaign isn't necessarily pulling its weight from a budget perspective. And at this time, we can see that it's high-fibre cereal. So then I can look from a search term objective and go a bit deeper into, ok, high-fibre breakfast cereal isn't really being searched for that much. So therefore, while it even says $10 I might not put $10 behind it because I can see it's never sort of reached its budget of $30 sort of before. It's not sort of spending. Again, this is for the whole month. We can see that this month only spent a dollar 38 [$1.38] a dollar 83 [$1.83] even though we're increasing it by $10. So we might as well keep the budget at [$]30 because if someone searches for high-fibre breakfast here, we're going to be there. And that's checked out like, over the past 7 days, your impression share. And I know that's sort of an arbitrary figure, but we can kind of get a bit of an indication of whether we're coming up or not. So we are coming up for high-fibre. The answer to this question is people aren't just searching for high-fibre. So we might as well make that budget zero [changed Breakfast Cereal High Fibre campaign budget to 0.00 in Excel spreadsheet]. Still keep it at [$]30 [for the campaign budget] just to get any low-hanging fruit that gets searched there. But then let's turn up our either [Breakfast Cereal] category or 'Cereal, Bites & Protein' [campaign] to $45 or so by $10 [increase] there to get the [$]105 [overall category budget of all aggregated Breakfast Cereal campaigns]. So it is, I guess, applied at a campaign level rather than a category. But just the way that we were set up with the system, we have a deep wallet for cereal, we have a default wallet. We have a non-dairy milk wallet for our non-dairy milk campaigns. But I guess what is important from my perspective to show the NAM's [National Account Managers] is that we've spent this much money behind each category. Because they're the questions they get asked from that level. Like how much money you put behind, say chilled milk as opposed to grocery milk as opposed to frozen desserts. They [NAM's] have to hit certain quotas that I got to help them out with the system. So that's why the most flexibility I have is within each of these product categories rather than cross categories.",Business decision, Bidding, Budget, Campaigns, Categories, Expectations, Insights, KPI, Optimisation, Performance, Spend, Spend Limits / Cap-outs, Wallets, Manual effort, Excel,,,,
"I guess so, I guess from pacing, it's whether we're hitting our daily budgets that we're associating in there. And then I guess it becomes a question of, hey, what's our return on ad spend? What is the max CPC? So for example, with high-fibre cereal, someone might make the argument of, hey, say if our max bid was 50 cents and we can see that if not spending its daily budget from this regard. We might be like, well, is our max CPC not high enough? Is that what's happening here. Is this why this campaign isn't pacing. So this [Excel] sheet can then show me, well, look, every time we're sort of coming up here, we're paying 61 cents cost per click [CPC]. So it's not really a max CPC issue because we've got $3.10 there. We're sort of the, the main leader category in high-fibre cereal. So then it becomes oh, well, it's not necessarily being searched a lot and that sort of stuff. So I guess they're decisions that we make with pacing. To be quite honest with our products in particular, there's never really been a pacing issue because we've got such high volume and in a competitive space. So I guess then it becomes a matter of, is our max CPC sort of meeting what our cost per click is. Is it really close? Is it we're just not serving and then, are we hitting that total budget across the board there? And then that might be decisions based on, I guess the next step. What we've found from frozen desserts here is that, we've only got $22 increase per day. That's not a lot of budget in the frozen dessert space. We did have four campaigns operating. And it's like, oh, look, we're not really getting much of an impression share from that one. So, let's close the other three accounts. We make the most return ad spend and the best click through rate on this campaign. Let's just put the whole $22 behind this campaign rather than increasing it by $5.03 dollars. Whatever that lower limit is if we have multiple campaigns that way?",Business decision, Overspending, Ad serving, Bidding, Budget, Competitor, CPC (Cost Per Click), Objectives, Optimisation, Pacing, Products, Search terms / Keywords, Hack or Workaround, Excel,,,,,
"We're just trying to improve our space month-on-month. I think from our weekly catch-ups that I have with, I think it's Corinne who works on the SmartCart team. She's sort of, I guess our account rep from this regards. We're going pretty well from a return on Ad spend perspective in terms of our overall campaigns that we've got going. I guess we do evaluate ROAS from a certain perspective, but we also judge the success of our campaigns by the click through and conversion rate that we're seeing. Because at the end of the day, we want to be relevant to the consumer, rather than total return on Ad spend. And I guess that comes with the decision of why we still keep certain campaigns, like say the breakfast cereal, cereal bites and protein campaign running, even though it's our worst return on Ad spend. Because people are still searching for cereal, we treat it as, you know, it's a place that we need to be in because that's how people search for it max. So we're able to wear a lower return Ad spend with this campaign.",Business strategy, Advice and guidance, Buyer behaviour, Conversion Rates, CTR (Click Thru Rate), Relevancy, ROAS, Search terms / Keywords, SmartCart, Brand needs, Support,,,,,,,,
"Granted, because [breakfast cereal category] it does have such a high search volume and it becomes more of a marketing strategy rather than a return and Ad spend strategy. But it's still great to be one of the few people in that category space to take advantage of the fact that no-one's really in there at the moment. And I always say that cautiously because I'm waiting for the day that other competitors jump on that category area. But as you can see especially with cereal, not so much with grocery milk because we do make certain strides in that area in grocery milk, we make our best return on ads spin, but especially in cereal we're getting some good return on Ad spend numbers there from being in that category space.",Brand marketing/spend, Business strategy, Concern or Worry, Categories, Competitor, ROAS, Search terms / Keywords, Spend, Positive feedback, Grocery,,,,,,,,,
"Well, I mean, it's a bit of both. So, I mean I do look at that daily spend. I'm still logging in maybe not every day because it's not a requirement to log in every day. It would certainly help from a weekend perspective because at the moment, as you can see there, I'm logging in on say Thursday, Friday, increasing the budget by three to account for those three days. So to have that sort of taken care of would be, would be fantastic. I mean, I'd still love to log into it. This is sort of my... I like work with numbers and stats. So I do like the fact that I can log in every day and sort of download the campaign and see how they're working. I would say I'd still have the hands-on approach in terms of making decisions. But a lot of the grunt work of just logging in, like, you know, as part of the grunt work is just logging into each campaign, bringing up each of these campaigns and getting the calculator out to increase each one by that amount, right? So, if that's handled it sort of on a daily basis, I guess a lot more of it could be spent digging into not only the campaigns, but also a lot of time is me digging into the search terms and what search terms are driving this and then what, what products are driving this. So again, I guess if that grunt work of that daily login increase, that download of the information, is automated then I guess a lot more decisions can be made around, say the search terms and tweaking those and doing that sort of stuff. Rather than sort of just increasing the budget on a daily basis. There still is that tweaking, but I guess when I say grunt work I'm talking about just logging in there downloading and updating the numbers to make sure they account correctly. Because you'll still need to do that as I said, I wouldn't necessarily take like a 'set and forget' approach because there might be things you need to jump on. So for example, like that high-fibre cereal, if I'm banking on that campaign to spend $10 a day. Again this is a very small example, but if I needed a campaign to spend $1000 a day, I would still be wanting to log in and sort of check that to make sure that it was doing that. Or if we suddenly had a competitor who jumped on and then ramped up the category campaign $2 cost per click, then I'd still be wanting to log in every second day or third day to check and see if there's anything like that that's happening. Because it's a very, I guess dynamic system and sort of one change by a competitor can have a ripple effect across everybody. So it's still, I guess, important to be logging in even if a lot of the grunt work is being taken care of to kind of jump in and make those adjustments.",Business decision, Concern or Worry, Budget, Campaigns, Competitor, Data, Metrics, Optimisation, Performance, Search terms / Keywords, Spend Limits / Cap-outs, Hack or Workaround, Routine activity, Manual effort, Excel,,,,
"So, I guess if we're looking at daily budget spends, it'd be [Google] Ad words and Facebook sort of having that capability. I also do the bidding across the AdManager platform, which is the Coles-facing platform that does allow the daily spend as well to be associated there. I guess they're the other platforms that I mean, at the end of the day, sort of with that daily spend capability. But again, in terms of downloading the report across AdManager, it's still the same, you still need to get rid of that, the 'K' [thousands indicator] build it out, download that information because it doesn't allow that sort of summary at the top in terms of those campaigns there. But the one difference sort of between the two systems is that daily spend compared to the only aspects we have is an Always On campaign or a total spend. And we've stayed away from the Always On because there's no real... apart from the wallet, I guess it becomes there where the lock comes on in terms of that control of Always On.",Budget, Data, Performance, Spend, Spend Limits / Cap-outs, Wallets, Coles, Manual effort, AdManager, Excel,,,,,,,,,
"We operate off total spend [strategy]. We're also dealing in categories that are very high search term oriented. So I know if I had a total spend and put the month in, it would probably be gone in four or five days from a perspective there. Rather than the requirement that I have to do is logging in each day and topping up the budget that way.",Business decision, Categories, Optimisation, Search terms / Keywords, Spend, Routine activity,,,,,,,,,,,,,
"Correct, yeah.",,,,,,,,,,,,,,,,,,,
"So if I'm looking at say grocery milk. Again, we keep our products pretty small, tight in the grocery milk space. So we did have our hero products. So we did have our grocery milk products appearing there. We normally have, say like an almond [milk]. We did have just say like two products in there at that space. We have adjusted that now to... sorry, I'm getting a lot of notifications coming up. We adjusted it to sort of loading up the priority SKU’s as much as possible. So at the moment we've got about, but our three hero products, if you will, some of the Almond milk, the Original and Barista Almond milk. There's not many adjustments we have here because we have little products sort of within this campaign. So like we've got 20 products in there. We're making calls in or out with those 20 or so products. Our campaigns are kept to a limit of say like 8 products that we like to circulate in there or even less as you can see.",Campaigns, Optimisation, Products, Search terms / Keywords, SKU, Spend Limits / Cap-outs, Routine activity, Grocery,,,,,,,,,,,
"On a monthly basis, I sort of download the product information seeing which ones are giving us our best return a spend. I guess you can see [in the Campaign Dashboard in AdManager] the barista milk is being shown the most and it has the best return on Ad spend that we've got here. But we actually do see that our unsweetened almond milk is the one that's the most clicked on. So I just look at this information in terms of just getting a general gist of what our products are doing within the system. But we know from sales market that our almond unsweetened, is sort of our hero seller. It's great to have the Barista milk in there because it's quite a good buy. It's also great to see based on this information that our products are basically bought. I mean, in this case, it's bought four times. So for every one sort of conversion, we're getting four sales in almost in this regard. And you can see with this one here too [So Good Unsweetened Almond Milk], 437 conversion that's resulted in 1137 sales. So I guess if we're looking at things that could be added here, it'd kind of be cool to maybe see like an average basket frequency. I know that I sort of do a bit of an estimation of the sales divided by the conversions to just sort of see, hey, people are buying a product on average by three in terms of how everyone purchase equates to three products being sold. But it's great to sort of see that information.",Analysis, Conversion Rates, Data, Metrics, Performance, Products, ROAS, Routine activity, AdManager, Excel, Missed opportunity, UI improvements,,,,,,,
"And then I guess with the search terms again, this is done on a monthly basis. But as you can pretty much see with this one [in the Campaign Dashboard in AdManager]and this is from, I guess past history data that I've sort of culled as we've gone through. So there's only two search terms in this regard. But I would make the decision that, you know, we also had say 'almonds', we also had 'milk for almonds', like other search terms in there. And then just based on the click through rate [CTR] and the conversion rate and the amount of impressions, it's making sure that, you know, what are we seeing from an impression and return on Ad spend level here? And again, this is not hardcore [UI] changes. This is just for my own benefit and quick understanding. So, you know, there's no way we can...",,,,,,,,,,,,,,,,,,,
"Yeah. And I think that's just purely because of the types of industries that we're in. I mean, almond milk and this is data that we've had downloaded from Woolworths and provided by Woolworths and that sort of stuff just to see, what is the volume. And it's also a strategy. So for example, for cereal, we know Weetbix is searched a lot, and we would have a great return on Ad spend with our SmartCart if we target Weetbix as a search term. But that's not the strategy with our cereal products because we want to be in spaces where people are making the decision, rather than sort of running sponsored Ads on Weetbix when they already decided to buy a Weetbix products. So that's why in this sort of one we know that So Good [products] might work. But we know that almond milk just has the volume to support our spend in the campaign. And it also has a quite a good conversion rate and click through rate too. So they're sort of the decisions that we make around say almond milk. If we were to do a new campaign, we would essentially start broad and then work our way in, as we saw. So we've had this campaign running for quite a long time now and we found that it's best to just appear on that almond milk search term for this individual campaign. And that does come, you know, with budget decisions and sort of how much money we have to work with and, and play with for each, each individual campaign too.",Business decision, Business strategy, Budget, Data, NPD (New Product Development), Performance, Products, SPA (Sponsored Product Ads), SmartCart, Woolworths, Excel,,,,,,,,
This campaign's probably been running for the entirety. So about two years now that this campaign has been running for.,,,,,,,,,,,,,,,,,,,
Yep.,,,,,,,,,,,,,,,,,,,
"Yeah. So I guess we do it by, first when we put in a campaign, I'll do some research organically. So what products are appearing, what products are high? What products do we need to sort of implement in this area? So, for example, with our serial campaign, we saw that Weetbix Organic is coming up quite high on that page. Sorry, not organic, the Weetbix value pack. So the 1.2 kg value pack is coming up quite high organically anyway. So that product doesn't really, we need to be in our campaign because we want to bring up our lower-tail products in there because if someone sees Weetbix 1.2 kg on the same page on special or something like that, they'll be buying it from organically or that's what we hope, in that regard there. And then I guess it's also a bit of a decision with the sales managers that we have on our ends in terms of, hey, what products are you guys wanting to hero? And that's why I guess 'Bites' is part of our swing and like 'protein'. Because there's a whole other world, I guess from an in-store perspective about what products they want to push more than others, from that regard. Does that, does that answer?",Business decision, Business strategy, Analysis, Campaigns, Categories, Products, Promotions, Search terms / Keywords, Routine activity,,,,,,,,,,
"As I said, it's cool sort of being on the front line with the changes and that sort of stuff with you guys and showing you how you do it, showing you how I run the system again. I guess we're taking on the, that this is something that we've, sort of always sort of thought of both the ecommerce platforms that's available to us across both Coles and Woolworths. We do understand it's new systems, it's new ground being forged and that sort of stuff in this regard. So, any changes to the system, sorry, if you're getting the notifications, I can try to mute. Let me turn a whole We're happy with any sort of change that come to the system, knowing about them, testing them out. Our goal is to be best in class in both of these platforms and in sort of how we operate our products. And you know, that's why it's also been really helpful to have Corinne [SmartCart Account Rep] in terms of judging it and sort of seeing the information. Because again, we know that not all the information is client-facing as of yet. So we're always happy to take learnings, adjust the campaigns and learn of how we can make it better. So, no problem whatsoever.",Business strategy, eCommerce marketing/spend, Data challenge, Expectations, SmartCart, Woolworths, Understanding clear, Guidance, Support,,,,,,,,,,
"Awesome, sweet. Well, thank you so much guys.",,,,,,,,,,,,,,,,,,,
"And, just quickly you all work across AdManager as the product which you work on Woolies and, and Coles or Woolies and Coles. It's the same, same platform.",,,,,,,,,,,,,,,,,,,
"Yeah, definitely. So for SmartCart I'm updating the budgets daily because there isn't that daily spend option yet. Whereas on the Coles platform, I find it's easier that I can just kind of go in every second day.",Budget, SmartCart, Routine activity, Coles,,,,,,,,,,,,,,,
"And then kind of check pacing on my internal docs and then update the daily spend if there is a big change in pacing or anything and I need to increase it or decrease it. But for SmartCart particularly, I mean, I'm in every day updating every campaign's budgets. And then I will also check on ROAS and then kind of adjust bids if I need to improve this if that's what the client's aiming towards. And then also if the budgets aren't spending, I'll kind of look through add key terms in as well. Kind of on a weekly basis.",Pacing, Search terms / Keywords, Performance, Spend, Routine activity, Bidding, Optimisation, ROAS, SmartCart,,,,,,,,,,
"So I have the month's budget for every campaign. So I divide that by the amount of days and then, so it'll start with the first daily spend and then each day I'll just add the additional day spend at around 10.10 a.m. just so it's increased. So it's got the extra budget to be active again.",Date or Time related, Search terms / Keywords, Performance, Spend, Routine activity, Budget, Bidding, Optimisation, ROAS, SmartCart,,,,,,,,,
"And just to add to that, we have tested trying to add in like, you know, a couple of days’ spend or a week spend and see how it goes. But in most instances, particularly for Pepsi, we haven't got the budget assigned to allow us to go the whole time. So we're finding that we're running out, you know, within a day or two and then that's already the week's budget. So all of a sudden then we've got to, I guess, bring down the pacing for the rest of the month or you know, we're offline for a certain time which nobody wants us to do. That's sort of, I guess the issue at the moment.",Overspending, Budget, Spend, Business challenge, Ad serving, Pepsico, Test & Learn / Experiments, Loss of revenue,,,,,,,,,,,
"So basically the budget's been given us to by the client based on I guess their key priorities. They sign a certain percentage of that broken down by their different products. So on Pepsi, you know, 'chips' has about 40% of their budget. 'Crackers' has another, you know, 10%, 20% and then the rest sort of just filters down into the to the remaining products.",eCommerce marketing/spend, Products, Budget, Categories, Business norm, Business strategy, Pepsico,,,,,,,,,,,,
"So there's a 'chip' only keyword campaign and then, I guess other variations of that, within the other campaign. And then, we're in a sort of a weird discussion about whether corn chip is a chip or not at the moment. So we're running tests on that. And I'm like, it's definitely a type of chip but I don't know. But internally at Pepsi, they have obviously set their different products for them, so they sit completely separate, and they obviously want to. But at the end of the day, as every consumer, even if you're looking for Doritos, you're searching in 'chips' like it's not, there's not much difference.",Complexity, Products, Search terms / Keywords, Buyer behaviour, Campaigns, Test & Learn / Experiments,,,,,,,,,,,,,
"So luckily across this client and it's actually different for SCJ [S.C. Johnson & Son], but across this, they have an eComm budget which they then break down into the different category. So it's one whole budget. But for SCJ, we've got 10 different budgets that can only be spent on the specific category because it's coming from that brand or that manager. So they're coming from different pockets [wallets]. So there's two sort of different ways with Pepsi, we can be a bit more fluid with how we are managing it with SCJ, it's very specific to that, to that product or category.",Consideration, Products, SC Johnson (SCJ), Pepsico, Wallets, eCommerce marketing/spend, Categories, Business decision, Budget,,,,,,,,,,
"So, across SCJ [S.C. Johnson & Son] there are different category wallets. So you have like home cleaning, pest control, other things. And then for Pepsi, I believe we just have, what are they called Bec?",Categories, SC Johnson (SCJ), Business norm, Pepsico, Wallets,,,,,,,,,,,,,,
Just search wallet and then a category wallet?,,,,,,,,,,,,,,,,,,,
"So one for search budget, one for your aisle campaigns and that sort of thing. I'm sorry, the word category has been mixed there.",,,,,,,,,,,,,,,,,,,
"Yeah. Maybe we can, like, you know, if we see one campaign doing better than the other, we can move budget freely within. Like it's not set to that specific product or that specific category. We can change it and be a bit more fluid based on performance metrics that we are going after.",Performance, Metrics, Optimisation, Business decision, Opportunity, Campaigns,,,,,,,,,,,,,
"Yeah, so it's more of a guide. So they like we want to allocate roughly 40% to this, or 2% to this. But it doesn't have to hit exactly on that number. We obviously try to get close. But if we see something's doing better within the month, or at the end of the month, then we can change those splits and, move the budget around.",Routine activity, Budget, Categories,,,,,,,,,,,,,,,,
"So we only run snacks, at the moment. So we don't actually do beverages, which is probably another conversation to have. But, at the moment we're only running snack activity.",,,,,,,,,,,,,,,,,,,
"Yeah, so definitely chips. We've actually just recently we were targeting, I guess, ROAS, slash revenue [ROAS and Revenue] as a target and we've recently just switched around to the share of voice [SOV].",Share of Voice, Audience targeting, ROAS, Revenue,,,,,,,,,,,,,,,
"Particularly that's what I guess the platform being so, I guess towards the bottom of the [buyer/consumer] funnel where people are, you know, you got quite high conversion rates across the platform, which is good. It's more about actually getting that share of market, virtual competitors as opposed to actually having to worry too much about the ROAS. So, you know, Pepsi at the moment want to achieve roughly 30[%] to 40% in each category. So with the different demand that's coming through, I guess that's how at the moment we would be shifting spend. Which probably brings to the other point is having that impression share or share of voice [SOV] metric. Obviously, we can only get that out of one platform and it's quite a elusive number. Like you go, how can we get it says we've got, I don't know, say 5000 out of 20,000 [25% share of voice]. And we go and we reach out to our partners and say, what do we need to do to get the 20,000 out of 20,000 [100% share of voice]? It's like, oh, well, it's not really there for you to go after. So that's a bit of a confusing metric from us. So if there was a way to have like an impression share or a share of voice metric, that sort of we can target or go after that makes it a lot easier for our conversations with the clients, when they're trying to achieve those numbers.",Partners, Limitation, Demand sources, Impressions, Conversion Rates, Metrics, ROAS, Spend, Audience targeting, Customer needs, AdManager, Pepsico, Buyer behaviour, Confusion, UI improvements, Share of Voice,,,
Cool.,,,,,,,,,,,,,,,,,,,
"Mainly just the keywords and then adjusting bids [when optimising campaigns] as well if we can increase that a bit and seeing that help. We do have a campaign as well which we actually swap SKU's, weekly for Coles and SmartCart and it's a promo campaign. So that one is changing products on a weekly basis and seeing how kind of they perform, with ROAS and impression share each week. But yeah, mainly just keywords and adding that it.",SKU, SmartCart, Search terms / Keywords, ROAS, Campaigns, Optimisation, Bidding, Impressions, Routine activity, Performance, Coles, Promotions,,,,,,,
Probably the only other thing to add to that and obviously it's not a daily change that you can make is that we work closely with our SEO [Search Engine optimisation] team who manage the actual SKU's or the placements in terms of how they appear on the Coles and Woolworths website.,Woolworths, Coles, Placements, Optimisation, Search terms / Keywords, SKU, Guidance,,,,,,,,,,,,
"So, looking at how they can optimise that or get higher conversion rates or, you know, change the product pages around to actually try and grow either a higher click through rate [CTR] or a high conversion rate across our activity. So, that's obviously a longer-term project. But something that we're constantly feeding back and having conversation on as well.",Business strategy, Reporting, Advice and guidance, CTR (Click Thru Rate), Routine activity, Conversion Rates, Optimisation, PDP (Product Display Page), Products,,,,,,,,,,
"I think initially it's trying to reduce the bid [when overspending] to see if you can, I guess bid lower and get the same amount of results just for a better budget. If not really, it's about capping the budget. Like, we have to have that. Additional funds aren't necessarily accessible immediately. But we can definitely go back and I think this is where having that share of voice metric [SOV] would be really helpful is saying like, you know, we were spending this amount but only getting 20% share of voice this month as opposed to 40%. So really if you want to hit 40% then we need additional x amount of budget so that we can drive that additional funds. But using that metric to drive the conversation for additional, whereas at the moment or you know, similar if you were doing ROAS and you saw we're hitting 500% ROAS. We can spend more. Like, you got to have that conversation first [around metrics] before then I guess increasing. And generally for our clients, and it changes towards the end of the year, but generally they have a locked in amount for the year.",Brands, Advice and guidance, Budget, ROAS, Metrics, Business challenge, Agencies, Spend, Optimisation, Customer needs, Share of Voice, Bidding, Overspending,,,,,,
"And it's probably not, I'm not sure if you looked at Pepsi closely last year towards Christmas, but they had additional funds flowing in from everywhere and it was like, can you spend it, can you spend it, can you spend it? And you're going, yeah, we'll try but other than that, during the normal year, I guess, this is our budget. It's pretty set for the year. You can always have a conversation about getting more but generally it's locked in for that for that time period.",Seasonal, Spend, Pepsico, Budget, Advice and guidance,,,,,,,,,,,,,,
"Yeah, and I think that's been probably the difficult thing in recent times. Obviously, the more we go into lockdown, the more people jump online. So trying to predict those trends has been quite difficult.",Business challenge, Complexity, Buyer behaviour,,,,,,,,,,,,,,,,
"So I don't know any insight that we can get from you guys or any forecasts or predictions on what it may look like or what it is looking like currently would be helpful in sort of forecasting that. But otherwise they're [Pepsi] using their years of knowledge across the product and different other like other trends. You can jump onto Google trends and have a look to see how much people are searching for it as well. And different tools. But, generally, yes, but it has been quite difficult across eComm recently.",Pepsico, Customer needs, Understanding vague, Aggregated reporting, Insights, Products, Forecasting, Google Ad Manager (GAM), Complexity, Competitor advantage,,,,,,,,,
Are we Bec?,,,,,,,,,,,,,,,,,,,
"Sorry, what could you resay that?",,,,,,,,,,,,,,,,,,,
"I think, genuinely sorry, it was about the new [retailer updated] catalogs coming out. So yes, I think is the answer. We obviously, as Bec said, we update our promos or our specials every Wednesday. So we're adding in a new campaign with those promo SKU's on the Wednesday. So we see those do really well, those specific SKU's. So I guess that's in line with the [Coles] catalog.",Routine activity, SKU, Catalog (retailer), Campaigns, Promotions, Impact, Coles,,,,,,,,,,,,
"Yeah. So the client generally pushes more budget through this promo campaign. And we bid a lot higher as well. So they bid around, I think $9. Whereas our other Always On [spend strategy] 'chips' campaign will be generally around $2 to $3. So yeah, they push more budget through the promo campaign.",Business strategy, Spend, Bidding, Brands, Promotions, Budget, Business decision,,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,,
It's the same wallet.,,,,,,,,,,,,,,,,,,,
Yeah. So we'll just have the higher budget for that one and then that's connected to the search wallet.,Budget, Wallets, Business norm, SPA (Sponsored Product Ads),,,,,,,,,,,,,,,
"No, that one will be still I'm updating daily just so that it doesn't spend out in full.",,,,,,,,,,,,,,,,,,,
So a total total.,,,,,,,,,,,,,,,,,,,
"Yeah, total spend. But then for the Coles, the daily [spend limit].",,,,,,,,,,,,,,,,,,,
"So if we could have that change, it would save about an hour of Bec's day every time.",,,,,,,,,,,,,,,,,,,
"So we kind of just have the planned lifetime and then we have someone that goes in daily and updates how much it's spending from the start of the month to the previous day. And then based on the remaining budget, we can see if it's spending what it's meant to be. How much of the budget it's spent and if that's in line with how many days are left. And then based on this, if the recommended spend is still in line with the planned daily spend, I can kind of judge off that whether this needs to change or whether it's pacing along Ok.",Campaigns, Performance, Recommendation, Budget, Spend, Routine activity, Business decision, Planning,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,,
"Yes, exactly.",,,,,,,,,,,,,,,,,,,
